Name,Description
SAP CQC for DVM Potential – Evaluation for S/4HANA,"<p>Data Volume Management within the SAP Enterprise Support service portfolio helps you to set up and monitor a data volume management strategy that defines how to manage and reduce future data growth and reduce existing database size by following a holistic approach that considers both Memory and Disk size growth patterns and integrates the following options: data avoidance, data summarization, data deletion, data Archiving and Technical reduction measures that emerge with the introduction of the HANA database. Commencing with the &ldquo;DVM Potential - Evaluation&rdquo; service customers can learn to understand their data footprint covering both paradigms of HANA databases (i.e. Memory and Disk). The service is based on the DVM Cloud Application available via One Support Launchpad. With this application customers also learn the most beneficial reduction measures to apply to each paradigm and what impact each measure will have. They also learn about the data distribution over time (age profile) allowing them to decide on further initiatives such as commencing or intensifying an archiving project or to intensify housekeeping tasks. Furthermore, customers can evaluate statistics covering Custom tables, Achievements in Archiving or Growth patterns by System, Application and Tables. All the while, customers can also benefit from the insights provided by specific Technical Analyses showing reduction potential using technical measures such as HASH Key Indexing.</p>"
SAP CQC for DVM Potential – Evaluation for S/4HANA Cloud,<p>the service is currently not available for S/4 Cloud&nbsp;</p>
SAP IBP Troubleshooting Analysis - Inbound Integration,"<p>The webinar on SAP IBP Troubleshooting Analysis - Integration (Inbound) includes:</p>

<ul>
	<li>Data Import Scenario</li>
	<li>Best Practices for Data Import Jobs</li>
	<li>External Scheduling</li>
	<li>Q&amp;A&nbsp;</li>
</ul>"
Test PoC: Automatic event reason derivation (using MDF-based business rules),
Test PoC: Bank Account Deep Validations,
Test PoC: Fixed-term contracts within one step,
Test PoC: Hire/ Rehire Configuration generic object,
Test PoC: New National ID Permission,
"Test PoC: Rehire inactive employees via the ""Match"" pop-up in the Add New Employee wizard",
Test PoC: Rule-based generation of UserID / Username for Hires and Rehires (with New Employment),
"""Schedule an Expert""",<p>Allows you to conveniently book a 30-minute call with a SAP expert to collaborate on a specific inquiry or incident.</p>
1911 CPQ - Subscription Billing Integration,"<p>CPQ can now do subscription pricing: Multiple one time, recurring, consumption based fees per product. Subscription pricing supports Block, Volume, Tier, Percentage charging. Setting up products with subscriptions now comes out of the box with no more custom field approach. Seamless integration into SAP Subscription Billing.</p>"
2ZE-Variable Pay Planning with SAP SuccessFactors Employee Central,"<p>By completing these task tutorials, you will be able to:<br />
&nbsp;<br />
- Calculate a bonus payout<br />
- Launch the variable pay form by creating the forms in the manager&#39;s inbox<br />
- Review the variable pay for the employee for the current period&rsquo;s cycle<br />
- Perform the variable pay for the employee for the current period&#39;s cycle<br />
- Review the variable pay planning recommendations for individual employees submitted by all his or her subordinated planning managers<br />
- Process each variable pay plan form and either approve or reject it<br />
- Review the variable pay plan submitted by the 2nd Level Manager and complete the variable pay planning<br />
- Publish the variable pay payments to Employee Central<br />
- Verify that the variable pay amounts have been transferred as expected to the compensation information of the employee<br />
- Generate a unique personal combined statements for planning manager(s)using information from completed variable pay plans<br />
- View an employee&#39;s combined statement<br />
- Release a combined statement to an employee<br />
- View a combined statement as an employee<br />
- Review an employee&#39;s variable pay form<br />
- View a variable pay rollup report</p>"
360 Degree Review in SAP SuccessFactors,"<p>Learn how to collect feedback on an employee&#39;s performance and behavior from everyone, both inside and outside of an organization.</p>

<p>Course goals</p>

<p>By completing these task tutorials, you will be able to:<br />
<br />
- Create a 360 degree review for one&#39;s self<br />
- Nominate the raters in a 360 degree review form<br />
- Approve the participants in an employee&#39;s rater list in a 360 degree review<br />
- Provide feedback as an internal rater on an employee in a 360 degree review form<br />
- Review a completed employee detailed 360 degree report</p>"
3rd party Integration and Cloud Integration Best Practices,"<p>Best practices for SAP SuccessFactors integrations including integrating with 3rd party systems providing details on best practices on packaged and custom integrations, using templates.</p>"
AIE Ariba_EOD,"<p>Offering type: Expert on Demand(EOD)</p>

<p>AIE Expert on Demand request are available in addition to AIE Live Expert Sessions. It is recommended to start with AIE Live Expert Sessions to build up general knowledge on EHP&rsquo;s. In case additional questions remain open, these questions can be addressed to SAP experts via AIE Expert-on-Demand requests&nbsp;</p>

<p>In scope are:&nbsp;<br />
* Specific questions concerning the new functionalities on the latest EHP&rsquo;s, SP, versions.<br />
Not in scope:&nbsp;<br />
* Analysis of current customer system landscape<br />
* Impact on customer systems caused by activating business functions&nbsp;<br />
* Questions on specific implementation projects or workshops (i.e. How to install functionality - step by step)</p>

<p>If you have multiple questions belonging to several areas, please create separate requests, as they will be dispatched to different SAP experts. Please note that scheduling of sessions depends on the availability of the experts. AIE Expert on Demand request are available in addition to AIE Live Expert Sessions. It is recommended to start with AIE Live Expert Sessions to build up general knowledge on EHP&rsquo;s.<br />
For any topic no listed in the Live Expert sessions please write to sap_aie@sap.com</p>

<p>*This offer is exclusive for Enterprise Customers*<br />
&nbsp;</p>"
AIE Concur_EOD,"<p>Offering type: Expert on Demand(EOD)</p>

<p>AIE Expert on Demand request are available in addition to AIE Live Expert Sessions. It is recommended to start with AIE Live Expert Sessions to build up general knowledge on EHP&rsquo;s. In case additional questions remain open, these questions can be addressed to SAP experts via AIE Expert-on-Demand requests&nbsp;</p>

<p>In scope are:&nbsp;<br />
* Specific questions concerning the new functionalities on the latest EHP&rsquo;s, SP, versions.<br />
Not in scope:&nbsp;<br />
* Analysis of current customer system landscape<br />
* Impact on customer systems caused by activating business functions&nbsp;<br />
* Questions on specific implementation projects or workshops (i.e. How to install functionality - step by step)</p>

<p>If you have multiple questions belonging to several areas, please create separate requests, as they will be dispatched to different SAP experts. Please note that scheduling of sessions depends on the availability of the experts. AIE Expert on Demand request are available in addition to AIE Live Expert Sessions. It is recommended to start with AIE Live Expert Sessions to build up general knowledge on EHP&rsquo;s.<br />
For any topic no listed in the Live Expert sessions please write to sap_aie@sap.com</p>

<p>*This offer is exclusive for Enterprise Customers*</p>"
AIE EU General Data Protection Regulation (GDPR) and SAP data protection features overview -DPP_001,"<p>Offering type: Live Expert Session (LES)The EU General Data Protection Regulation (GDPR) becomes effective as of May 25, 2018. As a regulation, it will be directly applicable in all member states of the EU. The implications of the GDPR for existing data protection &amp; privacy concepts will be discussed. An overview of technical data protection and privacy features provided by SAP for its Business Suite products will be given, for example: * Obligation to delete data* Right of access of data subjectLegal disclaimer: SAP does not provide legal advice. The live expert session is only about technical features which might help customers to become compliant with data protection regulations. available Languages for the session: - English- German*This offer is exclusive for Enterprise Customers*</p>"
AIE HANA_EOD,"<p>Offering type: Expert on Demand(EOD)</p>

<p>AIE Expert on Demand request are available in addition to AIE Live Expert Sessions. It is recommended to start with AIE Live Expert Sessions to build up general knowledge on EHP&rsquo;s. In case additional questions remain open, these questions can be addressed to SAP experts via AIE Expert-on-Demand requests&nbsp;</p>

<p>In scope are:&nbsp;<br />
* Specific questions concerning the new functionalities on the latest EHP&rsquo;s, SP, versions.<br />
Not in scope:&nbsp;<br />
* Analysis of current customer system landscape<br />
* Impact on customer systems caused by activating business functions&nbsp;<br />
* Questions on specific implementation projects or workshops (i.e. How to install functionality - step by step)</p>

<p>If you have multiple questions belonging to several areas, please create separate requests, as they will be dispatched to different SAP experts. Please note that scheduling of sessions depends on the availability of the experts. AIE Expert on Demand request are available in addition to AIE Live Expert Sessions. It is recommended to start with AIE Live Expert Sessions to build up general knowledge on EHP&rsquo;s.<br />
For any topic no listed in the Live Expert sessions please write to sap_aie@sap.com</p>

<p>*This offer is exclusive for Enterprise Customers*</p>"
AIE S/4HANA _ EOD,"<p>Offering type: Expert on Demand(EOD)</p>

<p>AIE Expert on Demand request are available in addition to AIE Live Expert Sessions. It is recommended to start with AIE Live Expert Sessions to build up general knowledge on EHP&rsquo;s. In case additional questions remain open, these questions can be addressed to SAP experts via AIE Expert-on-Demand requests&nbsp;</p>

<p>In scope are:&nbsp;<br />
* Specific questions concerning the new functionalities on the latest EHP&rsquo;s, SP, versions.<br />
Not in scope:&nbsp;<br />
* Analysis of current customer system landscape<br />
* Impact on customer systems caused by activating business functions&nbsp;<br />
* Questions on specific implementation projects or workshops (i.e. How to install functionality - step by step)</p>

<p>If you have multiple questions belonging to several areas, please create separate requests, as they will be dispatched to different SAP experts. Please note that scheduling of sessions depends on the availability of the experts. AIE Expert on Demand request are available in addition to AIE Live Expert Sessions. It is recommended to start with AIE Live Expert Sessions to build up general knowledge on EHP&rsquo;s.<br />
For any topic no listed in the Live Expert sessions please write to sap_aie@sap.com</p>

<p>*This offer is exclusive for Enterprise Customers*<br />
&nbsp;</p>"
ALM and Customer Support: Part 1: ALM Roadmap,<p>Learn about the importance of the ALM offerings for SAP and its customers. And get a glimpse of the different ALM offerings that are part of the SAP support offerings</p>
ALM and Customer Support: Part 2: SAP Cloud ALM,"Learn about the details regarding the new cloud-based tool for application lifecycle management (ALM), which will be available as part of SAP support offerings. It covering all stages of the application lifecycle, from discovery of cloud solution capabilities to implementation, operations, and continuous innovation as well as business value realization and enhancement."
ALM and Customer Support: Part 3: Implementation Portal for S/4HANA Cloud - in SAP Cloud ALM,<p>Learn about the Implementation Portal for SAP S/4HANA Cloud and learn how to use SAP Cloud ALM for implementation projects</p>
ALM and Customer Support: Part 4: How SAP Cloud ALM and SAP Solution Manager are related,SAP Cloud ALM and SAP Solution Manager are not competitors. Understand how they complement each other by offering comparable capabilities for different focus areas.
ALM and Customer Support: Part 5.1: SAP Solution Manager Roadmap - Updates,<p>Learn about the most important updates about SAP Solution Manager 7.2.</p>
ALM and Customer Support: Part 5.2: SAP Solution Manager Roadmap - Outlook,"<p>Learn how SAP Solution Manager will evolve. You will take a look into the planned future of SAP Solution Manager. And understand how you, as a customer of SAP, can influence further developments of SAP Solution Manager.</p>"
ALM and Customer Support: Part 5.3: SAP Solution Manager and SAP S/4HANA,<p>Learn how customers use SAP Solution Manager for implementing SAP S/4HANA</p>
ALM and Customer Support: Part 5.4: Integrated process flow in requirements to deploy,<p>Learn about how the integrated process flow from requirement to deploy works in SAP Solution Manager.</p>
ALM and Customer Support: Part 6: Built-in Support,Understand the key features and advantages of the next-generation Built-In Support: Collaboration & assistance
ALM and Customer Support: Part 7: Summary,"Get a brief overview of the highlights of SAP Solution Manager, Focused Solutions, SAP Cloud ALM, Built-In Support, and what to do next."
API Strategy for SAP Cloud for Customer,"<p>Back in 1808, we introduced SAP Cloud for Customer OData API v2. With that we also announced the deprecation of OData API v1 and the standard synchronous-SOAP (A2X) APIs. This session will help our customers in their efforts to transition to the new API by providing the details behind the strategy, answers to a few commonly asked questions, tips and tricks.</p>"
APIs & Prepackaged Integration Content and More,"<p>The key ingredients of this concept are public SAP application APIs, prepackaged integration content for SAP and Non-SAP integration use cases and business process models spanning across various SAP applications.</p>

<p>In this webinar you will gain insights into:</p>

<ul>
	<li>SAP&#39;s overall API strategy</li>
	<li>Scope of prepackaged integration content for SAP-to-SAP and SAP-to-Non SAP integration</li>
	<li>Process model diagrams for the key scenarios of SAP&rsquo;s Intelligent Enterprise strategy</li>
	<li>The role of SAP API Business Hub and how it relates to SAP Graph</li>
</ul>"
Accelerate SAP S/4HANA integrations by leveraging SAP Cloud Platform Integration Suite and prebuilt integrations,<p>Accelerate SAP S/4HANA &amp; SAP Business Suite integrations using SAP Cloud Platform Integration Suite</p>
Accelerate your SAP Solution Adoption with SAP Model Company,SAP model company definition and implementation strategy How Cargill leveraged the SAP Transportation Management model company How to reduce the overall implementation time frame while delivering the solution close to SAP standard Goals:How to reduce the overall implementation time frame while delivering the solution close to SAP standard
Activate DVM chapter in Early Watch Alert and understand its rating,"<p>You want to get a brief overview of your DVM situation via an EarlyWatch Alert check, but do not know where to start.</p>

<p>Once you have the Chapter available in your EarlyWatch Alert, you need to understand why the rating is changing to Red from Green to Yellow</p>

<p>Using this Learning Program, you will go through the steps to enable to the EWA chapter in your DVM to be populated and rated. We will give you the tools and insights to see how the ratings can be influenced.</p>

<p>&nbsp;</p>

<p><u>Goals:</u></p>

<ul>
	<li>
	<p>Get an introduction to SAP Data Volume Management</p>
	</li>
	<li>
	<p>Know what the DVM Chapter in an EWA looks like</p>
	</li>
	<li>
	<p>Know how to activate it via SAP Solution Manager</p>
	</li>
	<li>
	<p>Know what the thresholds are that cause a change in the ratings</p>
	</li>
</ul>

<p><u>Target Audience<u>:</u></u></p>

<p>Customers who are planning to migrate to SAP S/4HANA including:</p>

<ul>
	<li>
	<p>Project Manager</p>
	</li>
	<li>
	<p>IT Manager</p>
	</li>
	<li>
	<p>Basis System Administrator</p>
	</li>
</ul>

<p><u>Prerequisites<u>:</u></u></p>

<ul>
	<li>
	<p>none</p>
	</li>
</ul>"
Activate SAP Best Practices for SAP S/4HANA 1909,"<p>An overview of SAP Best Practices</p>

<p>Prerequisite</p>

<p>Activation steps</p>

<p>Lessons Learned and Key Takeaways</p>

<p>&nbsp;</p>"
Activation Business Key Figures Chapter SAP EarlyWatch Alert on SAP Solution Manager 7.2,"<p>&nbsp; This tutorial explains&nbsp;how customers can activate and generate Business Key Figures chapter in SAP EarlyWatch Alert on SAP Solution Manager 7.2. &nbsp; Goals:Realize the value of Business Key FiguresLearn how to Activate Business Key FiguresDiscover where to find EarlyWatch Alert reportsUnderstand how to generate Ad-hoc EWA report &nbsp; EWA, Business Key Figures, BPI, Value Map, Business Decision Makers, SAP Solution Manager 7.2 &nbsp;</p>"
Activation of tenants & Adding tenant Admins,"In this tutorial about SAP Scheduling and Resource Management by ClickSoftware, you will learn how to:Activate the tenant: You are the administrator of the Click FSE tenant. You have received the welcome email by ClickSoftware that the tenant is ready. In this tutorial you will learn how to activate the tenant immediately after you have received the welcome email.Activate the tenant after 24 hours:  You are the administrator of the Click FSE tenant. You have received the welcome email by ClickSoftware that the tenant is ready. But you received the activation email a longer time ago. In this tutorial you will learn how to activate your tenant anyway.Add a tenant admin user You are the administrator of the Click FSE tenant. You have already activated the tenant and are logged in. As a next step you would like to create additional administration users. In this tutorial you will learn how to add users that help you to administer the tenant. Product: SAP Scheduling and Resource Management by ClickSoftware  "
Add New Employee or Rehire,"<p>By completing these task tutorials, you will be able to:&nbsp;</p>

<p>- Enter details of a new employee during the hiring process<br />
- Enter details of a new employee whose partial data is already saved as a draft<br />
- Enter details of a rehired employee who is inactive in the system<br />
- Check the results of the data replication process to SAP SuccessFactors Employee Central Payroll<br />
- Create tax-relevant data for a newly hired employee<br />
- Create contract elements for a newly hired employee<br />
- Create tax-relevant data for a rehired employee<br />
- Create contract elements for a rehired employee</p>"
Additional IS-Utilities Section in the CX Solutions Service Deployment Readiness Check,
Administer Contigent Workforce,"<p>By completing these task tutorials, you will be able to:</p>

<ul>
	<li>Manage contingent worker master data</li>
	<li>View contingent workers in org charts</li>
	<li>Maintain contingent worker information</li>
	<li>Assign contingent workers to new work orders</li>
</ul>

<p>&nbsp;</p>"
Administer Contingent Workforce (1Q0),"<p>Nach Durchf&uuml;hrung der Task Tutorials, k&ouml;nnen Sie:</p>

<ul>
	<li>Stammdaten f&uuml;r Leiharbeiter erfassen</li>
	<li>Leiharbeiter in Organigramm anzeigen</li>
	<li>Leiharbeiterdaten pflegen</li>
	<li>Leiharbeiter einem neuen Arbeitsauftrag zuordnen</li>
</ul>

<p>Software: SAP SuccessFactors 1905</p>"
Administer Termination,"<p>This package covers the termination of an employee by a line manager and the approval of the termination request by an HR administrator, plus the optional viewing of the position details after termination.</p>

<p>By completing these task tutorials, you will be able to:&nbsp;</p>

<ul>
	<li>Enter termination data for an employee</li>
	<li>Approve a termination request</li>
	<li>View position details after termination</li>
	<li>Generate an End of Employment document</li>
</ul>"
Administration & Configuration on SAP Asset Intelligence Network: A Walkthrough,<p>Overview of administration and configuration on SAP Asset Intelligence Network Overview of pre-onboarding and onboarding tasks and business process integration Overview of SAP Asset Intelligence Network extensions and general application settings Goals: Understand how to admininter and configure SAP Asset Intelligence Network. Digital Assets</p>
Adopt SAP Fiori Cloud,"<p>This learning program is designed to help you getting started with SAP Fiori Cloud Edition, identify most suitable SAP Fiori Apps, set up your system&nbsp;landscape and&nbsp; start benefitting from the best in class User Experience.</p>

<p><u>Goals:</u></p>

<ul>
	<li>
	<p>Get to know SAP Fiori Cloud , its value for your business and deployment options.</p>
	</li>
	<li>
	<p>Identify SAP Fiori Cloud Apps most suitable for your business.</p>
	</li>
	<li>
	<p>Set up your system landscape for simple use of SAP Fiori Cloud Apps.</p>
	</li>
</ul>

<p><u>Target Audience<u>:</u></u></p>

<ul>
	<li>
	<p>Technical Consultant</p>
	</li>
	<li>
	<p>Business consultant</p>
	</li>
	<li>
	<p>Architect</p>
	</li>
</ul>

<p><u>Prerequisites:</u></p>

<ul>
	<li>
	<p>SAP Cloud Platform subscription</p>
	</li>
	<li>
	<p>SAP Fiori Cloud subscription</p>
	</li>
</ul>"
Advanced Secure Support (Advanced Package Option),"<p>To help ensure industry leading levels of security in the most sensitive environments.&nbsp;Some SAP customers active in highly regulated industries need to be compliant with strict security regulations and specific data-privacy requirements.</p>

<p>Included in Option on top of Advanced Package:&nbsp;Classified message processing to be able to determine the group of support engineers who will be authorized to view the content of the messages which are flagged as classified.</p>

<table align=""left"" border=""1"" cellpadding=""1"" cellspacing=""1"" style=""width: 1200px;"">
	<thead>
		<tr>
			<th scope=""row"">&nbsp;</th>
			<th scope=""col"">Foundation Package</th>
			<th scope=""col"">Basic Package</th>
			<th scope=""col"">Advanced Package</th>
			<th scope=""col"">Advanced Package Option</th>
		</tr>
	</thead>
	<tbody>
		<tr>
			<th scope=""row"">
			<p>SAP secure setup service</p>
			</th>
			<td>x</td>
			<td>x</td>
			<td>x</td>
			<td>&nbsp;</td>
		</tr>
		<tr>
			<th scope=""row"">
			<p>SAP secure support customer interaction</p>
			</th>
			<td>x</td>
			<td>x</td>
			<td>x</td>
			<td>&nbsp;</td>
		</tr>
		<tr>
			<th scope=""row"">
			<p>Advanced secure connection</p>
			</th>
			<td>x</td>
			<td>x</td>
			<td>x</td>
			<td>&nbsp;</td>
		</tr>
		<tr>
			<th scope=""row"">SAP secure incident message</th>
			<td>&nbsp;</td>
			<td>x</td>
			<td>x</td>
			<td>&nbsp;</td>
		</tr>
		<tr>
			<th scope=""row"">SAP secure remote service</th>
			<td>&nbsp;</td>
			<td>x</td>
			<td>x</td>
			<td>&nbsp;</td>
		</tr>
		<tr>
			<th scope=""row"">
			<p>SAP security-cleared personnel access</p>
			</th>
			<td>&nbsp;</td>
			<td>&nbsp;</td>
			<td>x</td>
			<td>&nbsp;</td>
		</tr>
		<tr>
			<th scope=""row"">SAP secure remote access</th>
			<td>&nbsp;</td>
			<td>&nbsp;</td>
			<td>x</td>
			<td>&nbsp;</td>
		</tr>
		<tr>
			<th scope=""row"">Option: Classified message processing</th>
			<td>&nbsp;</td>
			<td>&nbsp;</td>
			<td>&nbsp;</td>
			<td>x</td>
		</tr>
	</tbody>
</table>

<p>&nbsp;</p>"
Advancing Your Analytics,"<p><strong>Customers</strong>&nbsp;can access these materials on the SAP Fieldglass Forum.</p>

<p><strong>Partners</strong>&nbsp;can access them on the Application Documentation Jam page.</p>

<p><strong>SAP internal&nbsp;employees</strong>&nbsp;can access a recording, along with the presentation deck and FAQ document, of each Did You Know webinar&nbsp;on SAP Fieldglass Learning Services Jam.</p>"
Agentry Editor Import and Export,"Import and Export a design Get the needed knowledge on how to import or export an Agentry application Use this same import technique to analyze an existing deployed application in production  Release: Agentry version 6.0.X+  SAP Mobile Platform, SMP"
Agentry Mobile Screen Layout Design,"<p>Design and choose device Cross platform design, list tile design and testing Release: Agentry version 6.0.X+</p>"
Agentry Rule: Subtracting Dates,Type Cast
Agentry Team Share Feature,"Before/After Agentry Team Share and Using Agentry Team Share Creating Project, Team Share Operations and a Demo Get the needed knowledge prior to starting a team of designers in using the Agentry editor in a team share environment  Release: Agentry version 6.0.X+"
Agentry Text File Encoding,"Text file encoding Demo how to change text file encoding Render certain text file encoding to properly view the code (SQL, JAVA and others)  Release: Agentry version 6.0.X+  SAP Mobile Platform, SMP"
An Overview: EC Data Structures and Utilization of Data across the Platform,"<p>SAP SuccessFactors Employee Central (EC) structures provide a big picture view of what is stored in the system.</p>

<p>Whether you are beginning an EC Implementation or looking to improve your current configuration or use of the tool, this session will be useful for you. Because understanding the structure of data is also critical to becoming proficient at creating EC reports.&nbsp;</p>"
Analytics Integration - Embedded SAP Analytics Cloud,"<p>SAP Analytics Cloud is one simple cloud solution for all analytics and beyond: From standard Business Intelligence tasks to Planning and Simulation, from Smart Assists to Application Building; SAP Analytics Cloud offers end-to-end solutions as Software as a Service with lots of pre-defined content. Use it either stand alone or experience the user-friendly User Interfaces embedded seamlessly into applications like SAP S/4HANA Cloud or SAP SuccessFactors, offering analytics where it needs to be: At your fingertip!</p>"
Analyze Inbound Calls - Click FSE,SAP Scheduling and Resource Management by ClickSoftware relies on an on premise - cloud system landscape. Troubleshooting may require to analyze HTTP calls sent from the cloud via SAP Web Dispatcher to your on premise landscape. This tutorial is focused on Click Field Service Edge (FSE) analysis tools.   Goals: Configure Click Field Servie Edge for troubleshooting HTTP messages sent from Click FSE to your on-premise landscape
Analyze Inbound Calls from Click FSE - SAP Web Dispatcher,SAP Scheduling and Resource Management by ClickSoftware relies on a on premise - cloud system landscape
Analyze and Solve Nota Fiscal Issues in SAP ERP and SAP Nota Fiscal 10.0,Hints for troubleshooting NF-e 3.10 of SAP ERP and SAP NF-e 10.0 issues Goals:  Identify and solve NF-e issues.Help to implement and operate the NF-e solution with low TCO. Nota Fiscal Brazil
Analyze improvement potential of your SAP Solution,"<p>Overdue or exceptional business documents are often caused by system errors, such as user handling issues, configuration or master data issues, or open documents on inactive organizational units or document types. To learn at what process points documents are queuing up, it is recommended to run a complete system health check. The check analyzes processes like order-to-cash, procure-to-pay, record-to-report, manufacturing etc. and provides data for internal discussion between business and functional IT. As an outcome of internal discussion, the improvement Focus Area can be Defined &ndash; Set.</p>

<p>&nbsp;</p>

<p><u>Goals:</u></p>

<ul>
	<li>
	<p>Prepare your SAP Solution for the business process-oriented health check</p>
	</li>
	<li>
	<p>Execute the business process-oriented health check</p>
	</li>
	<li>
	<p>Analyze the business process-oriented health check results</p>
	</li>
	<li>
	<p>Define your&nbsp;improvement Focus Area</p>
	</li>
</ul>

<p><u>Target Audience<u>:</u></u></p>

<ul>
	<li>
	<p>Functional IT Experts</p>
	</li>
	<li>
	<p>Business Process Experts</p>
	</li>
</ul>

<p><u>Prerequisites<u>:</u></u></p>

<ul>
	<li>
	<p>This Learning Program is designed for Process Experts, Project Managers and Functional IT consultants. You require business process knowledge, Business Process Improvement methodology knowledge is also an&nbsp;advantage.</p>
	</li>
</ul>"
Analyze the success of your marketing campaign,"<p>In this learning program you will learn about available tools to help you measure the successful performance of your marketing campaigns.</p>

<p>&nbsp;</p>

<p><u>Goals:</u></p>

<ul>
	<li>
	<p>Learn how to measure the success of your marketing campaigns.</p>
	</li>
	<li>
	<p>Understand how to plan and monitor your campaigns.</p>
	</li>
	<li>
	<p>Identify tools to run and measure your campaign success.</p>
	</li>
</ul>"
Analyzing Crystal and WEBI Traces to BW,How to do additional XI3.1 and BI4 tracing that can be done specifically for troubleshooting reports against SAP backend. It touches on both Crystal Report as well as WEBI tracing against SAP BW.  Goals:  basic understanding on how to turn on these additional traceshow to analyze the logs and use the info to do meaningful searches in our knowledge base/notes
Android For Work: Creating a Configuration Policy,"Creating an Android For Work Configuration Policy and adding a Certificate Request to this policy Deploying the Configuration policy to the device Learn how to create an Android For Work Configuration policy. Once linked to a device(s), this will trigger the AFW enrollment process on the device(s).  Release: SAP Mobile Secure Cloud Edition"
Android Native App Development,
